data_object,initial_completeness,technique_completeness,ml_algorithm,final_ml_value
default of credit card clients_x6,0.4501875,impute_cmeans,LogisticRegression,0.7577366010979443
default of credit card clients_x6,0.4501875,impute_standard,KNN,0.7802255350482905
default of credit card clients_x6,0.4501875,impute_mean,KNN,0.7801814573245004
default of credit card clients_x6,0.4501875,impute_median,KNN,0.7802255350482905
default of credit card clients_x6,0.4501875,impute_random,KNN,0.7719752150930853
default of credit card clients_x6,0.4501875,impute_knn,KNN,0.7792165350545551
default of credit card clients_x6,0.4501875,impute_mice,KNN,0.7797933121807926
default of credit card clients_x6,0.4501875,impute_linear_regression,KNN,0.7800293723693883
default of credit card clients_x6,0.4501875,impute_random_forest,KNN,0.7802731696024984
default of credit card clients_x6,0.4501875,impute_cmeans,KNN,0.7794802137210859
default of credit card clients_x6,0.4501875,impute_standard,RandomForest,0.7851301730593937
default of credit card clients_x6,0.4501875,impute_mean,RandomForest,0.7852250085313696
default of credit card clients_x6,0.4501875,impute_median,RandomForest,0.7854989952863312
default of credit card clients_x6,0.4501875,impute_random,RandomForest,0.7757741922503648
default of credit card clients_x6,0.4501875,impute_knn,RandomForest,0.7868153490013506
default of credit card clients_x6,0.4501875,impute_mice,RandomForest,0.7868971941022815
default of credit card clients_x6,0.4501875,impute_linear_regression,RandomForest,0.7868384426263075
default of credit card clients_x6,0.4501875,impute_random_forest,RandomForest,0.7870239893440139
default of credit card clients_x6,0.4501875,impute_cmeans,RandomForest,0.7858288724281859
default of credit card clients_x6,0.4501875,impute_standard,AdaBoost,0.7751186127514512
default of credit card clients_x6,0.4501875,impute_mean,AdaBoost,0.7754655928419258
default of credit card clients_x6,0.4501875,impute_median,AdaBoost,0.7751186127514512
default of credit card clients_x6,0.4501875,impute_random,AdaBoost,0.7734958423734775
default of credit card clients_x6,0.4501875,impute_knn,AdaBoost,0.7802525213114639
default of credit card clients_x6,0.4501875,impute_mice,AdaBoost,0.784609296949909
default of credit card clients_x6,0.4501875,impute_linear_regression,AdaBoost,0.7847912600792104
default of credit card clients_x6,0.4501875,impute_random_forest,AdaBoost,0.7816194543340381
default of credit card clients_x6,0.4501875,impute_cmeans,AdaBoost,0.7791114979867844
default of credit card clients_x6,0.4501875,impute_standard,SVC,0.4868059176958091
default of credit card clients_x6,0.4501875,impute_mean,SVC,0.4680675056388076
default of credit card clients_x6,0.4501875,impute_median,SVC,0.4868059176958091
default of credit card clients_x6,0.4501875,impute_random,SVC,0.4718960348527088
default of credit card clients_x6,0.4501875,impute_knn,SVC,0.4838697511500647
default of credit card clients_x6,0.4501875,impute_mice,SVC,0.4729379188671507
default of credit card clients_x6,0.4501875,impute_linear_regression,SVC,0.4656978716597466
default of credit card clients_x6,0.4501875,impute_random_forest,SVC,0.5051855170103257
default of credit card clients_x6,0.4501875,impute_cmeans,SVC,0.4520467367867128
default of credit card clients_x6,0.399875,impute_standard,DecisionTree,0.7854952494266506
default of credit card clients_x6,0.399875,impute_mean,DecisionTree,0.7855233497230215
default of credit card clients_x6,0.399875,impute_median,DecisionTree,0.7855415646183085
default of credit card clients_x6,0.399875,impute_random,DecisionTree,0.7734938877890157
default of credit card clients_x6,0.399875,impute_knn,DecisionTree,0.7883675071564286
default of credit card clients_x6,0.399875,impute_mice,DecisionTree,0.7875063450496876
default of credit card clients_x6,0.399875,impute_linear_regression,DecisionTree,0.7872684883199057
default of credit card clients_x6,0.399875,impute_random_forest,DecisionTree,0.7875969937775439
default of credit card clients_x6,0.399875,impute_cmeans,DecisionTree,0.7898232609964148
default of credit card clients_x6,0.399875,impute_standard,LogisticRegression,0.748278152342241
default of credit card clients_x6,0.399875,impute_mean,LogisticRegression,0.7483018665325405
default of credit card clients_x6,0.399875,impute_median,LogisticRegression,0.748278152342241
default of credit card clients_x6,0.399875,impute_random,LogisticRegression,0.7432336704744936
default of credit card clients_x6,0.399875,impute_knn,LogisticRegression,0.759112951542927
default of credit card clients_x6,0.399875,impute_mice,LogisticRegression,0.7563438959899562
default of credit card clients_x6,0.399875,impute_linear_regression,LogisticRegression,0.7563575502595534
default of credit card clients_x6,0.399875,impute_random_forest,LogisticRegression,0.7614823900706051
default of credit card clients_x6,0.399875,impute_cmeans,LogisticRegression,0.7584043776051475
default of credit card clients_x6,0.399875,impute_standard,KNN,0.782792587220008
default of credit card clients_x6,0.399875,impute_mean,KNN,0.7826519747074661
default of credit card clients_x6,0.399875,impute_median,KNN,0.782792587220008
default of credit card clients_x6,0.399875,impute_random,KNN,0.7734858512323819
default of credit card clients_x6,0.399875,impute_knn,KNN,0.7820961429652803
default of credit card clients_x6,0.399875,impute_mice,KNN,0.7829282612931485
default of credit card clients_x6,0.399875,impute_linear_regression,KNN,0.7830801987946941
default of credit card clients_x6,0.399875,impute_random_forest,KNN,0.7827355497098043
default of credit card clients_x6,0.399875,impute_cmeans,KNN,0.7828704348443399
default of credit card clients_x6,0.399875,impute_standard,RandomForest,0.7879874804255246
default of credit card clients_x6,0.399875,impute_mean,RandomForest,0.7881462559655635
default of credit card clients_x6,0.399875,impute_median,RandomForest,0.7878694942762894
default of credit card clients_x6,0.399875,impute_random,RandomForest,0.7769826962049016
default of credit card clients_x6,0.399875,impute_knn,RandomForest,0.7894067557656976
default of credit card clients_x6,0.399875,impute_mice,RandomForest,0.7892418402945013
default of credit card clients_x6,0.399875,impute_linear_regression,RandomForest,0.7892852914921396
default of credit card clients_x6,0.399875,impute_random_forest,RandomForest,0.7892505886899059
default of credit card clients_x6,0.399875,impute_cmeans,RandomForest,0.7883766905318073
default of credit card clients_x6,0.399875,impute_standard,AdaBoost,0.7757812220074773
default of credit card clients_x6,0.399875,impute_mean,AdaBoost,0.7766664940895204
default of credit card clients_x6,0.399875,impute_median,AdaBoost,0.7757812220074773
default of credit card clients_x6,0.399875,impute_random,AdaBoost,0.7743013143764819
default of credit card clients_x6,0.399875,impute_knn,AdaBoost,0.7821774996599011
default of credit card clients_x6,0.399875,impute_mice,AdaBoost,0.7865418255047083
default of credit card clients_x6,0.399875,impute_linear_regression,AdaBoost,0.7865930917590025
default of credit card clients_x6,0.399875,impute_random_forest,AdaBoost,0.7831926061544223
default of credit card clients_x6,0.399875,impute_cmeans,AdaBoost,0.782086121794409
default of credit card clients_x6,0.399875,impute_standard,SVC,0.4494523215955853
default of credit card clients_x6,0.399875,impute_mean,SVC,0.4517206352415414
default of credit card clients_x6,0.399875,impute_median,SVC,0.4494523215955853
default of credit card clients_x6,0.399875,impute_random,SVC,0.4724588676517763
default of credit card clients_x6,0.399875,impute_knn,SVC,0.4457089456161476
default of credit card clients_x6,0.399875,impute_mice,SVC,0.4789892622718314
default of credit card clients_x6,0.399875,impute_linear_regression,SVC,0.4756587430857006
default of credit card clients_x6,0.399875,impute_random_forest,SVC,0.4435905490087071
default of credit card clients_x6,0.399875,impute_cmeans,SVC,0.4788774309446632
default of credit card clients_x6,0.351225,impute_standard,DecisionTree,0.7872496026076969
default of credit card clients_x6,0.351225,impute_mean,DecisionTree,0.7872280621876717
default of credit card clients_x6,0.351225,impute_median,DecisionTree,0.7872415518202185
default of credit card clients_x6,0.351225,impute_random,DecisionTree,0.7746854477940298
default of credit card clients_x6,0.351225,impute_knn,DecisionTree,0.7881610373687317
default of credit card clients_x6,0.351225,impute_mice,DecisionTree,0.7891269670455348
default of credit card clients_x6,0.351225,impute_linear_regression,DecisionTree,0.7891527971252319
default of credit card clients_x6,0.351225,impute_random_forest,DecisionTree,0.7885579402766868
default of credit card clients_x6,0.351225,impute_cmeans,DecisionTree,0.7880822165893545
default of credit card clients_x6,0.351225,impute_standard,LogisticRegression,0.7499948239017173
default of credit card clients_x6,0.351225,impute_mean,LogisticRegression,0.7499937689424238
default of credit card clients_x6,0.351225,impute_median,LogisticRegression,0.7499948239017173
default of credit card clients_x6,0.351225,impute_random,LogisticRegression,0.7451078079854125
default of credit card clients_x6,0.351225,impute_knn,LogisticRegression,0.7606869515508522
default of credit card clients_x6,0.351225,impute_mice,LogisticRegression,0.758305021961304
default of credit card clients_x6,0.351225,impute_linear_regression,LogisticRegression,0.7583109934835109
default of credit card clients_x6,0.351225,impute_random_forest,LogisticRegression,0.7631170012426766
default of credit card clients_x6,0.351225,impute_cmeans,LogisticRegression,0.7590794612525649
default of credit card clients_x6,0.351225,impute_standard,KNN,0.7829735127056275
default of credit card clients_x6,0.351225,impute_mean,KNN,0.7830766023441911
default of credit card clients_x6,0.351225,impute_median,KNN,0.7829735127056275
default of credit card clients_x6,0.351225,impute_random,KNN,0.7751667069600825
default of credit card clients_x6,0.351225,impute_knn,KNN,0.7822612966289686
